,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Similarity Score,Weight,PurEqualCon,Portion Consumed,Source
216,14-249,"redcurrants, raw",FA,Fruit,punnet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
217,14-252,"rhubarb, stems only, raw",FA,Fruit,bunch,0.38882124272100155,,,,
218,14-059,star fruit,FA,Fruit,"loose, individual",0.5658014875150271,200g,Y,individual carton,
219,14-324,"strawberries, raw",FA,Fruit,punnet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
220,14-268,"whitecurrants, raw",FA,Fruit,punnet,0.5217706540839595,75g,Y,1 raw small eating (6 to lb) ,
221,13-801,"allspice, ground",H,Herbs and spices,spice jar,0.0,,,,
222,13-802,anise seeds,H,Herbs and spices,spice jar,0.0,,,,
223,13-803,asafoetida,H,Herbs and spices,,0.0,,,,
224,13-805,"basil, dried, ground",H,Herbs and spices,spice jar,0.0,,,,
225,13-804,"basil, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
226,13-808,caraway seeds,H,Herbs and spices,spice jar,0.0,,,,
227,13-809,"cardamom, ground",H,Herbs and spices,spice jar,0.0,,,,
228,13-810,celery seeds,H,Herbs and spices,spice jar,0.0,,,,
229,13-811,"chervil, dried",H,Herbs and spices,spice jar,0.0,,,,
230,13-873,chilli powder,H,Herbs and spices,spice jar,0.4721944627262765,290g,Y,meal for one,
231,13-813,chinese 5 spice,H,Herbs and spices,spice jar,0.388480009945057,,,,
232,13-887,"chives, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
233,13-874,"cinnamon, ground",H,Herbs and spices,spice jar,0.0,,,,
234,13-816,"cloves, dried",H,Herbs and spices,spice jar,0.0,,,,
235,13-818,"coriander leaves, dried",H,Herbs and spices,spice jar,0.0,,,,
236,13-889,cumin seeds,H,Herbs and spices,spice jar,0.0,,,,
237,13-876,curry powder,H,Herbs and spices,spice jar,0.4726432066559673,125g,Y,1 can ,
238,13-824,"dill, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
239,13-829,garam masala,H,Herbs and spices,spice jar,0.0,,,,
240,13-830,garlic powder,H,Herbs and spices,spice jar,0.7256986511887664,20g,Y,1 slice,
241,13-890,"ginger, fresh",H,Herbs and spices,"loose, individual",0.4379536451697761,,,,
242,13-832,"ginger, ground",H,Herbs and spices,spice jar,0.0,,,,
243,13-835,"marjoram, dried",H,Herbs and spices,spice jar,0.0,,,,
244,13-836,"mint, fresh",H,Herbs and spices,bunch,0.38142698860813556,,,,
245,13-886,mixed curry spices,H,Herbs and spices,spice jar,0.37269958894677874,,,,
246,13-884,"mixed herbs, dried",H,Herbs and spices,spice jar,0.5399797505619117,210g,Y,small can,
247,13-839,mustard seeds,H,Herbs and spices,spice jar,1.0,5g,Y,I sachet,
248,13-877,"nutmeg, ground",H,Herbs and spices,spice jar,0.0,,,,
249,13-878,"oregano, dried, ground",H,Herbs and spices,spice jar,0.0,,,,
250,13-879,paprika,H,Herbs and spices,spice jar,0.0,,,,
251,13-844,"parsley, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
252,13-880,"pepper, black",H,Herbs and spices,,0.5773502691896257,630g,Y,,
253,13-892,"rosemary, fresh",H,Herbs and spices,bunch,0.4379536451697761,,,,
254,13-852,saffron,H,Herbs and spices,spice jar,0.0,,,,
255,13-854,"sage, dried, ground",H,Herbs and spices,spice jar,0.0,,,,
256,19-646,"bacon rashers, back, fat trimmed, raw",MAA,Meat and meat products,,0.5570604721512142,25g/50g,Y,per bag,
257,18-006,"beef, braising steak, raw, lean",MAC,Meat and meat products,,0.5985515577650203,213g,Y,small,
258,18-003,"beef, fat, average, raw",MAC,Meat and meat products,,0.36158199868389024,,,,
259,18-016,"beef, fillet steak, raw, lean",MAC,Meat and meat products,,0.5985515577650203,213g,Y,small,
260,18-024,"beef, flank, raw, lean",MAC,Meat and meat products,,0.4604812858877775,,,,
261,18-468,"beef, lean, average, raw",MAC,Meat and meat products,,0.3583761996105854,,,,
262,18-469,"beef, mince, raw",MAC,Meat and meat products,,0.4604812858877775,,,,
263,18-054,"beef, silverside, raw, lean",MAC,Meat and meat products,,0.4604812858877775,,,,
264,18-064,"beef, sirloin steak, raw, lean",MAC,Meat and meat products,,0.5985515577650203,213g,Y,small,
265,18-084,"beef, topside, raw, lean",MAC,Meat and meat products,,0.4604812858877775,,,,
266,18-504,"chicken breast/steak, coated, baked",MCA,Meat and meat products,,0.649268362615639,100g,Y,,
267,18-501,"chicken pieces, coated, takeaway",MCA,Meat and meat products,,0.3278400135553574,,,,
268,18-293,"chicken, leg quarter, raw, meat and skin",MCA,Meat and meat products,,0.462416481826905,,,,
269,18-488,"chicken, meat, average, raw",MCA,Meat and meat products,,0.30431286458267365,,,,
270,18-297,"chicken, whole, raw, meat and skin",MCA,Meat and meat products,,0.4507749539321398,,,,
